source_id,product,id
5,display Samsung UE-48H6270 LED Televizyon *,11
1,BOH SAMSUNG G850 GALAXY  final,42
9,BOH Stdr1000201 25 1tb Bp Usb 3.0 GUMUS #,33
13,sample Samsung G950 Fiyatı #,7
18, Samsung G150F Galaxy Alpha Cep Telefonu #,84
1, SAMSUNG G850 GALAXY  final,88
16,$$ LG 42LB670V LED TV #,63
6,$$ Philips 185inç 193V5LSB2/62 5ms Led Monitör final,31
17, Samsung SM-T800 TABS 10.5 White Tablet ,65
2,BOH HP Pavilion 11-n000nt Pentium N3540 4GB  *,44
6,BOH Philips 185inç 193V5LSB2/62 5ms Led Monitör ,29
14,sample Samsung Galaxy Alpha G650 Beyaz Cep Telefonu final,23
4,NEW Samsung G750F Galaxy Alpha Cep Telefonu final,90
9, Stdr1000201 25 1tb Bp Usb 3.0 GUMUS final,53
2,BOH HP Pavilion 11-n000nt Pentium N3540 4GB  ,13
6,BOH Philips 185inç 193V5LSB2/62 5ms Led Monitör #,47
6,display Philips 185inç 193V5LSB2/62 5ms Led Monitör final,86
15,display Tefal GV8930 Pro Express Buhar Kazanlı #,32
8,BOH 185 193v5lsb2-62 Led Monitor 5ms Siyah *,27
14,sample Samsung Galaxy Alpha G650 Beyaz Cep Telefonu ,73
3, Apple iPhone 6 Plus 16GB Cep Telefonu ,78
6,NEW Philips 185inç 193V5LSB2/62 5ms Led Monitör final,46
13,$$ Samsung G950 Fiyatı final,66
16,NEW LG 42LB670V LED TV *,68
11,sample Tefal GV8930 Pro Express Buhar Jeneratörlü Ütü #,67
9, Stdr1000201 25 1tb Bp Usb 3.0 GUMUS ,18
7,BOH Sony Xperia M2 Dual ( Sony Türkiye Garantili ) #,15
7,$$ Sony Xperia M2 Dual ( Sony Türkiye Garantili ) final,2
4,display Samsung G750F Galaxy Alpha Cep Telefonu ,54
20,NEW Sony cazoo Z2 Cep Telefonu #,28
